
0.90024691358 --- {'classify__C': 900.0, 'classify__tol': 1e-08, 'classify__gamma': 2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.89975308642 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 100.0, 'classify__degree': 2, 'classify__gamma': 3}
0.89975308642 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 100.0, 'classify__degree': 2, 'classify__gamma': 3}
0.89975308642 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 200.0, 'classify__degree': 2, 'classify__gamma': 2}
0.89975308642 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 200.0, 'classify__degree': 2, 'classify__gamma': 2}
0.89975308642 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 300.0, 'classify__degree': 2, 'classify__gamma': 3}
0.89975308642 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 300.0, 'classify__degree': 2, 'classify__gamma': 3}
0.89975308642 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 300.0, 'classify__degree': 2, 'classify__gamma': 5}
0.89975308642 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 300.0, 'classify__degree': 2, 'classify__gamma': 5}
0.89975308642 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 600.0, 'classify__degree': 2, 'classify__gamma': 2}
0.89975308642 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 600.0, 'classify__degree': 2, 'classify__gamma': 2}
0.89975308642 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 800.0, 'classify__degree': 2, 'classify__gamma': 1}
0.89975308642 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 800.0, 'classify__degree': 2, 'classify__gamma': 1}
0.89975308642 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 900.0, 'classify__degree': 2, 'classify__gamma': 1}
